,social_beta,governance_beta,environment_beta
indicating,-1.6610526315789453,0.24052631578947353,-4.138421052631576
willing,0.5524999999999997,0.08874999999999969,0.5825
avoid,0.12125000000000007,0.445,-3.0331249999999996
hal,1.5088888888888885,0.7738888888888885,-6.553888888888889
organizational,-1.617254901960785,-0.782156862745098,-4.30372549019608
separated,-0.6250980392156863,-0.770392156862745,0.36686274509803923
regulator,-0.6533333333333334,-0.15722222222222168,0.1927777777777786
inactive,-1.2053333333333331,-0.9219999999999998,-3.3006666666666664
consumption,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
tco,1.4715789473684224,3.401578947368425,4.443684210526319
subtotal,-0.009047619047619674,-1.1045238095238101,1.0216666666666676
discounting,2.0855555555555556,1.365,-1.2072222222222224
certified,-0.3311111111111112,0.09833333333333316,-3.768333333333333
tight,3.041111111111111,0.4705555555555557,0.4983333333333331
montana,0.17230769230769244,-1.0484615384615392,3.755934065934067
dismantlement,0.42725274725274726,1.6878021978021978,8.421868131868132
road,1.0806249999999995,1.1199999999999997,-1.4549999999999998
restore,-0.5768421052631579,0.2931578947368419,9.219473684210527
settling,-0.29568627450980395,-0.5939215686274514,0.5315686274509817
incorporates,2.8572549019607845,1.7747058823529411,1.6570588235294124
devaluation,0.6887500000000001,0.9141666666666671,-2.5420833333333337
retaining,-0.23111111111111138,-0.8572222222222222,5.37611111111111
earn,-0.5768421052631579,0.2931578947368419,9.219473684210527
consistently,1.4650980392156867,0.6374509803921569,-1.6056862745098044
depressed,3.3494736842105266,3.4299999999999997,7.91421052631579
los,-0.9360000000000004,-0.8073333333333332,-3.0393333333333334
therewith,-0.43191919191919204,0.3643434343434343,-2.3306060606060597
supplied,1.0021052631578944,-0.8015789473684208,0.4826315789473688
paulsboro,-1.6807843137254905,-1.3903921568627455,-2.5864705882352945
processor,-0.06333333333333319,-0.6858333333333332,-2.8962500000000007
shipped,0.1389473684210521,-1.9173684210526312,0.9668421052631573
equally,-2.6329411764705895,-1.962549019607843,-3.805686274509804
meaningful,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
dispose,-0.9443750000000001,-0.40187499999999965,2.573125
upheld,-0.7475000000000005,-1.3268749999999996,2.2793750000000004
noncancelable,-0.6566666666666668,-0.47357142857142864,-1.1378571428571438
green,-0.6879999999999998,0.26466666666666655,2.4113333333333338
declaratory,0.7547252747252746,-0.6001098901098904,-0.4484615384615382
depleted,1.573333333333333,1.1659999999999997,-1.1219999999999999
lyondell,1.6610526315789482,-0.24052631578947387,4.138421052631582
utah,1.3100000000000003,0.6192857142857146,-0.7759523809523813
appointment,2.43,2.6094444444444442,2.409444444444444
majeure,0.14373626373626372,0.48780219780219786,0.566923076923077
privately,-0.4400000000000001,0.06200000000000013,-1.2020000000000002
fe,-0.5743750000000001,0.1581249999999997,0.18312500000000062
ireland,-0.21777777777777815,0.30373737373737386,1.0209090909090903
varies,-1.4977777777777774,-2.507222222222222,-2.8294444444444435
weak,3.1911111111111117,2.3761111111111117,4.737222222222222
medium,0.13960784313725477,-0.22921568627450992,-2.4801960784313732
expertise,1.9966666666666668,1.6705555555555556,-1.7961111111111114
sequential,-0.258,1.7570000000000001,-1.0010000000000006
listing,1.3945098039215684,0.6060784313725491,2.1433333333333344
grynberg,-0.4024999999999999,-1.454375,1.3362500000000006
auditing,,,
cftc,0.2035164835164836,-0.9339560439560439,-0.20428571428571388
outage,-3.4878431372549032,-2.072352941176471,-2.899803921568629
approximated,-1.11921568627451,-0.127254901960784,-0.2645098039215691
richard,-1.9195959595959595,-1.1562626262626257,-2.5360606060606052
ago,-1.9699999999999993,-0.47944444444444395,-5.834999999999998
automatic,1.8411111111111111,0.7983333333333332,4.687222222222221
origin,-0.17600000000000024,-1.1993333333333338,0.03533333333333294
contemplated,-1.4715789473684193,-3.401578947368419,-4.44368421052631
subsurface,1.3146666666666662,1.5686666666666669,0.9446666666666678
cog,4.9873684210526354,2.4226315789473705,7.706842105263166
stayed,-2.4818749999999996,-1.8893749999999994,-2.167499999999999
phantom,0.1440000000000002,0.531,2.029
divest,0.7709803921568629,0.46882352941176475,-2.2645098039215696
dividing,-0.6725000000000002,-2.0018749999999996,-0.5237499999999992
language,0.1786666666666666,-0.0020000000000001054,-2.93
cody,2.103333333333333,1.7016666666666662,3.812777777777777
cvx,-0.5577777777777778,0.9238888888888895,2.3738888888888883
syndicate,-1.586249999999999,-0.8691666666666666,-1.6483333333333337
bbb,-2.5900000000000007,-1.979,-2.5629999999999997
chancery,-0.9802020202020203,-1.5946464646464642,-2.0774747474747475
annualized,-0.18196078431372592,-0.6449019607843143,-2.2998039215686283
respond,,,
unfractionated,-0.6964705882352941,-1.8805882352941186,1.503725490196079
assert,-1.5068749999999997,-1.251875,-0.0831249999999993
trans,-1.3040000000000003,-0.9099999999999997,-1.9686666666666668
jones,-0.029999999999999763,0.29541666666666655,-0.08583333333333376
inherently,0.8181249999999998,-0.9737500000000001,-1.6424999999999998
branch,0.433846153846154,-0.285824175824176,-2.3803296703296724
prohibited,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
wes,0.4588888888888882,-2.2261111111111105,-1.7538888888888888
claimed,-0.36627450980392157,0.7629411764705883,0.6452941176470596
warehouse,0.03604395604395592,-1.1693406593406594,-3.5209890109890125
arose,1.5670588235294116,-1.080196078431373,0.4962745098039222
align,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
egholdings,1.050526315789474,1.812105263157896,8.096315789473694
rehearing,0.33666666666666684,0.06833333333333375,-0.229583333333333
petroecuador,1.3858823529411766,1.2645098039215692,4.331176470588235
codm,-0.9618750000000003,1.283125,3.442499999999999
retroactively,-1.6525490196078438,-1.068431372549019,4.4766666666666675
denominator,0.8116666666666662,-0.5441666666666669,0.3766666666666673
aggregating,-0.45333333333333337,0.6539999999999999,-0.9220000000000009
sublease,-0.6693750000000003,-0.5268749999999998,3.029375
idle,-0.19222222222222232,-1.1349999999999998,-0.2294444444444446
gray,-2.304,-2.3286666666666664,-3.4380000000000006
park,0.24333333333333337,-0.7330952380952386,-0.07595238095238106
copano,-3.3494736842105266,-3.4299999999999997,-7.91421052631579
maker,-1.136,-0.47666666666666657,-2.812666666666667
ammonia,-0.002857142857143001,-0.04785714285714256,-0.37404761904761846
discus,,,
counterclaim,-1.2319191919191919,-1.5689898989898987,-1.9164646464646455
westar,-1.2021052631578943,-3.766842105263159,-2.356315789473685
drawn,-3.408888888888888,-3.0738888888888876,-6.412777777777776
stanley,-1.062857142857143,-1.345164835164835,0.05703296703296763
bbld,1.547777777777777,1.657222222222222,6.273888888888889
surety,1.0757142857142856,-0.2692857142857144,0.6569047619047631
ensuring,2.8572549019607845,1.7747058823529411,1.6570588235294124
strengthening,2.6968421052631575,1.0721052631578942,1.0615789473684203
merged,1.2547368421052627,1.5142105263157883,-3.348947368421051
reaching,,,
declare,-1.535238095238096,-1.8997619047619057,0.9645238095238103
assure,-0.42400000000000015,-0.9433333333333339,-0.47666666666666613
incidental,0.11757575757575786,-0.36898989898989887,-0.44171717171717223
consumed,-1.5545098039215692,-0.997843137254902,-3.8880392156862755
disrupt,1.0633333333333335,-1.0516666666666659,-4.335
hereby,0.3504761904761906,0.969285714285714,2.645476190476191
undrilled,1.5033333333333334,2.0308333333333333,5.851666666666668
dock,-2.1340000000000003,-0.5289999999999998,0.3270000000000002
delivers,-4.987368421052625,-2.422631578947365,-7.706842105263149
sar,1.8716483516483522,1.4814285714285713,5.257252747252749
social,1.2547368421052627,1.5142105263157883,-3.348947368421051
nonusmember,1.188125,1.3925000000000003,-0.24187500000000037
residue,-2.0570833333333325,-1.2774999999999996,0.86625
regulating,-0.5146666666666665,-0.2820000000000002,4.403333333333333
ranged,0.40562500000000007,0.0012500000000003168,-3.6862500000000007
far,0.8886274509803919,0.8413725490196081,-0.5782352941176474
sng,-1.4768627450980392,-2.594313725490197,-2.692352941176471
aging,2.5290476190476197,2.2573809523809523,1.5883333333333338
bilateral,1.5352380952380957,0.5830952380952383,0.3092857142857143
generator,-0.48483516483516476,-0.19791208791208786,1.9845054945054947
multiplied,-1.1066666666666667,-0.6126666666666666,-3.492666666666667
oman,1.7680000000000005,0.5726666666666665,-3.4726666666666666
congo,0.7039999999999998,1.244666666666667,-3.3046666666666678
oilandgasmember,0.7662500000000001,1.8143750000000003,4.108124999999999
requesting,0.39312499999999984,0.6325,0.6012499999999996
coating,1.488125,1.7768749999999993,4.273750000000001
performs,1.3493749999999995,1.5324999999999995,-0.12687500000000057
favorably,2.1466666666666665,-0.5183333333333333,0.19277777777777838
sign,1.2547368421052627,1.5142105263157883,-3.348947368421051
fpso,0.5160000000000001,2.317,1.7049999999999998
independently,-0.587368421052631,-0.23315789473684193,-3.0436842105263144
considerable,1.6415686274509809,0.6256862745098036,1.2727450980392159
rock,3.0886274509803915,0.9472549019607844,0.3315686274509804
northamericaexplorationandproductionmember,1.050526315789474,1.812105263157896,8.096315789473694
widely,1.1188888888888888,0.7205555555555562,5.42611111111111
examining,,,
certifying,2.72,2.241372549019608,2.096274509803922
aviation,-0.3991666666666668,-0.643333333333333,-1.2079166666666663
rmt,-0.7915789473684218,-3.977368421052632,-7.461578947368422
padep,0.8299999999999992,0.45458333333333295,1.1629166666666675
detroit,-0.06509803921568653,1.5429411764705887,4.2762745098039225
underpayment,-0.6549494949494944,-0.746161616161616,-0.3239393939393935
mandate,-1.6200000000000003,-0.801666666666666,6.826111111111111
kbd,1.3663157894736853,1.3489473684210531,0.9173684210526332
kitimat,1.0956862745098046,2.14686274509804,5.3860784313725505
maxus,-0.6807843137254904,-0.6531372549019608,-1.7668627450980396
serving,-1.0144444444444443,-1.3738888888888885,-4.129444444444443
differing,-1.425098039215687,-0.8880392156862749,1.6805882352941177
allocate,-1.4977777777777774,-2.507222222222222,-2.8294444444444435
purported,-1.206666666666667,-0.7640476190476191,-1.2092857142857147
wood,-1.2670707070707066,-0.7158585858585857,-0.9461616161616165
swing,1.86020202020202,0.7912121212121211,0.6194949494949491
caiman,-0.7915789473684218,-3.977368421052632,-7.461578947368422
worker,-1.2662499999999999,-0.41749999999999965,-1.3924999999999998
indication,3.065263157894735,-0.18052631578947387,-0.11736842105263139
wall,-0.35190476190476205,-0.7045238095238096,-4.830714285714286
tolling,-1.4913131313131314,-1.6996969696969695,-3.6431313131313128
dcf,-3.3494736842105266,-3.4299999999999997,-7.91421052631579
regasification,-0.3283516483516486,0.668241758241758,0.00010989010989044175
analyst,1.0611764705882356,-0.7703921568627458,-2.946862745098039
caltex,0.9819607843137257,1.244901960784314,-0.6452941176470598
tower,-1.294,-1.7710000000000001,-2.629
organic,,,
phoenix,0.37010101010100976,-0.8053535353535352,-3.835656565656564
engages,0.5905882352941177,0.8531372549019607,6.657058823529412
geographical,2.6572549019607847,2.4570588235294113,1.6805882352941175
supplemented,-0.6453333333333336,-0.35133333333333333,1.1820000000000004
outlined,-1.050526315789472,-1.8121052631578924,-8.096315789473678
black,1.47125,0.26062500000000005,1.6981249999999997
left,1.2547368421052627,1.5142105263157883,-3.348947368421051
attached,-1.4537499999999992,-0.25187499999999974,-1.4487499999999993
transparency,-0.2876190476190477,-0.6473809523809531,-1.4973809523809523
mmbtud,1.8821052631578972,1.3278947368421068,3.791052631578952
negro,0.5033333333333336,1.2572222222222218,3.768333333333333
summarize,1.2547368421052627,1.5142105263157883,-3.348947368421051
approve,2.6968421052631575,1.0721052631578942,1.0615789473684203
tertiary,-1.7418181818181817,-0.558282828282828,1.7649494949494948
treat,-0.21312499999999995,-1.005,1.4606250000000005
mandated,0.7993749999999997,-0.18624999999999972,4.120000000000001
routine,0.38274509803921597,-0.021372549019608084,2.3550980392156857
eventual,-1.8290196078431376,-0.9076470588235298,-3.2958823529411783
remanded,-0.001568627450980813,-0.6331372549019606,4.774705882352944
corp,-0.08666666666666704,-0.39055555555555554,1.5816666666666672
cerro,1.1584313725490203,1.711568627450981,1.3939215686274522
abandoned,-1.0800000000000003,-0.02137254901960748,-1.4056862745098038
correction,0.3788235294117647,-1.2252941176470595,1.735490196078433
bringing,,,
prohibit,-1.081111111111111,-1.6405555555555558,2.520555555555557
retains,1.2547368421052627,1.5142105263157883,-3.348947368421051
diameter,-0.06285714285714275,-1.112197802197803,2.0636263736263745
reservation,-0.1675,-1.1608333333333334,-0.47125000000000006
creating,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
swaco,0.49777777777777726,-0.33722222222222203,-9.459444444444443
qualifies,-0.8599999999999999,-0.27999999999999997,4.145
exclusive,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
commissionwashington,-0.770196078431373,-0.8645098039215684,4.998235294117649
complexity,2.1466666666666665,-0.5183333333333333,0.19277777777777838
involvement,-0.9818749999999997,-0.42062499999999975,-0.40187499999999915
promissory,-1.03,-0.8837499999999999,-3.989999999999999
libyan,0.35400000000000004,0.8730000000000001,0.4489999999999997
pcaob,,,
reputation,-0.2477777777777777,-2.2183333333333337,-2.0905555555555537
recommendation,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
denying,0.42833333333333334,0.3808333333333335,0.7704166666666674
entry,1.2547368421052627,1.5142105263157883,-3.348947368421051
direction,-1.9977777777777774,0.7094444444444449,-2.823888888888888
reclamation,0.33249999999999996,0.6329166666666668,1.9141666666666666
geologist,1.8821978021978036,1.4240659340659352,1.6042857142857148
budgeted,-0.8506666666666666,-0.23399999999999987,1.851333333333333
tulsa,-0.10749999999999987,-0.81,-1.101666666666667
nevertheless,3.065263157894735,-0.18052631578947387,-0.11736842105263139
specify,0.44312499999999977,0.4606249999999999,0.9324999999999998
figure,0.965416666666666,0.18999999999999986,-0.6600000000000001
nonstrategic,-0.22945054945054924,0.5759340659340663,3.0572527472527478
reimbursed,-0.9029166666666668,-1.1254166666666667,-1.292083333333333
ltip,-0.32266666666666644,0.3780000000000005,1.3619999999999994
crisis,3.3855555555555554,1.7149999999999996,4.114999999999999
cybersecurity,0.6768627450980392,-0.36254901960784336,-3.9037254901960785
accurate,0.7868749999999999,0.9981249999999998,0.17937499999999937
underwritten,-2.5019780219780223,-2.5185714285714282,-2.7141758241758236
unweighted,0.17131313131313122,0.4033333333333333,2.575050505050505
arisen,0.348,0.369,1.549000000000001
prudent,0.21803921568627432,0.22176470588235309,3.072745098039216
eliminating,0.35777777777777775,0.953888888888889,3.098333333333334
korea,1.2973737373737375,1.4330303030303029,1.4027272727272724
entitle,-0.2340000000000001,-0.775,-2.286999999999999
protest,-0.818571428571429,-0.911666666666667,3.8026190476190487
standing,0.7899999999999997,0.5570000000000003,-0.399
deducted,1.931764705882353,0.44137254901960765,3.7864705882352956
pace,-4.987368421052625,-2.422631578947365,-7.706842105263149
tranche,-0.511515151515152,-1.5259595959595957,-3.5845454545454545
agrees,-3.9477777777777767,-2.2349999999999985,-2.1072222222222208
unqualified,0.2647619047619049,0.06928571428571445,1.219285714285714
valve,-0.38499999999999984,-1.0112499999999995,-5.336250000000001
financed,-3.3349019607843147,-2.8449019607843145,-3.1429411764705883
kuparuk,0.23666666666666683,1.135,1.096111111111111
come,2.6968421052631575,1.0721052631578942,1.0615789473684203
govern,0.9993749999999996,0.032499999999999786,1.0168750000000002
fractionated,-1.8470329670329668,-2.424065934065934,-2.7910989010989007
significance,-2.4250980392156865,-1.5272549019607846,-4.052745098039217
introduction,-1.1529670329670336,-0.24626373626373627,-4.569340659340661
syndication,0.32175824175824175,-0.6946153846153852,-3.281428571428573
ecuadorian,1.6533333333333327,1.668333333333334,4.529444444444443
scoop,-0.21019607843137228,-0.34333333333333377,4.456666666666668
splitter,-2.6742857142857157,-3.4859523809523822,-3.481190476190477
sable,-0.8650000000000001,-1.2293749999999999,-4.579374999999999
interior,0.8993749999999995,0.9762500000000004,0.7731250000000006
feed,-1.0400000000000003,-0.343333333333333,0.7446666666666676
caustic,1.4311111111111101,0.8294444444444439,6.457222222222221
online,,,
damaged,0.7022222222222222,-0.1461111111111108,0.07611111111111024
carb,-0.6909523809523811,0.16880952380952396,2.430714285714286
exclusion,-1.9388235294117644,-1.6056862745098046,-5.774313725490197
brae,1.050526315789474,1.812105263157896,8.096315789473694
severally,-2.363333333333333,-2.310833333333333,-3.554583333333333
nok,1.6255555555555556,1.0794444444444438,-0.3538888888888887
cpuc,-2.185555555555556,-3.909444444444444,-8.115
formatted,-0.36631578947368315,0.3457894736842101,8.703684210526314
weaker,,,
subsidiariesconsolidated,-1.178901098901099,-0.20868131868131845,-0.45043956043956085
rou,-0.7080000000000002,-0.21500000000000022,4.655
haynesville,1.5559595959595955,1.059292929292929,1.033030303030303
introduced,0.8966666666666665,-0.8072222222222221,-0.5461111111111113
institutional,0.02749999999999996,-0.17062499999999955,0.1512500000000001
distribute,-1.24952380952381,-1.6640476190476199,2.202619047619048
noncompliance,-1.963125,-0.7737499999999997,1.4856250000000006
foreignexchangecontractmember,-1.37,-0.37458333333333343,-4.678750000000001
dynamic,-4.987368421052625,-2.422631578947365,-7.706842105263149
proven,3.0275,1.9043749999999997,1.3043749999999994
jurisdictional,2.0052747252747265,0.8130769230769236,3.3295604395604412
docket,-0.7457142857142858,-2.119285714285715,-0.847857142857143
marketplace,0.3556249999999996,-0.7800000000000001,-2.7018750000000002
targeting,2.6572549019607847,2.4570588235294113,1.6805882352941175
renew,-2.14125,-2.3425000000000002,-1.6143749999999994
orderly,-0.5706666666666669,0.06733333333333336,-1.9300000000000004
averaging,-1.899607843137255,-0.8409803921568627,-4.460588235294119
japan,0.8460606060606057,0.16696969696969727,-0.5077777777777781
nm,-1.0493750000000004,-1.295,-3.2668749999999998
ghgs,-0.3309890109890111,-1.4572527472527474,0.4965934065934069
pvc,-0.22196078431372557,-0.3550980392156866,2.6096078431372556
longhorn,-0.30823529411764705,-1.4217647058823535,-4.143333333333334
paris,0.8964705882352938,2.5001960784313733,1.3394117647058827
driving,-0.9200000000000002,-1.712777777777778,-1.490555555555556
lapse,0.8522222222222214,1.4427777777777775,-2.0405555555555552
commonstock,-1.1259999999999997,-0.44900000000000023,-0.028999999999999915
cst,-2.52842105263158,-1.651052631578948,0.054210526315790306
confidence,-0.4644444444444446,-1.1238888888888887,-1.7461111111111107
mmcfe,1.1813333333333336,0.4073333333333335,2.476666666666666
claiming,0.8137499999999999,-0.22541666666666652,2.0558333333333336
cusa,1.4715789473684224,3.401578947368425,4.443684210526319
square,1.518125,0.8575000000000003,-0.9675000000000006
negotiating,0.6258823529411766,0.37470588235294106,2.3668627450980404
unlikely,-1.2088888888888882,-0.7127777777777773,-3.507222222222221
kpmg,-0.07340659340659336,-0.3075824175824176,-2.511978021978023
shipyard,0.45846153846153814,0.8330769230769227,-2.252637362637363
cashflowhedgingmember,-1.6054166666666672,-1.7620833333333337,-0.7391666666666671
recession,-1.7699999999999996,-2.4961111111111114,-4.346111111111111
terminology,-0.7986813186813184,-1.2943956043956044,-0.021868131868131455
escalation,2.6968421052631575,1.0721052631578942,1.0615789473684203
downgraded,-2.2733333333333343,-1.1545238095238097,-0.6402380952380954
polyethylene,1.0133333333333334,0.41500000000000004,2.1649999999999996
dedicated,,,
awaiting,1.9522222222222219,0.1427777777777781,0.8150000000000001
yemen,1.3193749999999995,0.7643749999999996,1.3206250000000006
reflective,0.6658333333333336,0.3433333333333332,1.3766666666666671
focusing,,,
horn,2.2246464646464648,2.33,7.269393939393939
comprising,-3.9477777777777767,-2.2349999999999985,-2.1072222222222208
catalytic,-1.0033333333333336,0.5420833333333334,3.7525000000000004
unpredictable,0.8668131868131865,0.22846153846153838,3.1954945054945063
substantive,-1.081111111111111,-1.6405555555555558,2.520555555555557
indexed,0.3723076923076925,-0.49681318681318676,1.8306593406593414
automatically,-0.699607843137255,-0.6135294117647063,-4.444901960784314
seen,0.28687499999999977,-1.0081250000000004,-3.473749999999999
towards,,,
alternate,-0.4486274509803925,0.17862745098039204,0.7747058823529415
td,0.04476190476190489,-0.39785714285714313,0.5188095238095244
flood,-0.818571428571429,-0.911666666666667,3.8026190476190487
electronic,0.4533333333333331,0.011333333333333181,0.4540000000000002
concept,1.2547368421052627,1.5142105263157883,-3.348947368421051
cargo,-1.6452747252747257,-0.08142857142857113,2.6372527472527487
started,,,
capped,-0.46431372549019617,-0.29588235294117654,-2.4958823529411767
tengizchevroil,1.2721568627450983,1.6605882352941184,-1.4374509803921576
somewhat,1.4966666666666666,-0.4461111111111113,1.070555555555555
producible,1.3450505050505046,1.9245454545454543,5.090202020202019
coming,,,
nonregulated,-0.19450980392156872,-1.6178431372549023,-2.002156862745099
northeastern,-0.7709523809523814,-0.6616666666666668,4.147857142857145
lube,0.26142857142857123,0.2640476190476191,2.0569047619047627
salvage,-0.9787499999999999,-0.9174999999999998,6.710624999999999
reverse,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
accommodate,-0.2564705882352944,0.1707843137254903,1.8452941176470596
appalachia,0.8342857142857142,0.1012087912087909,-0.8790109890109891
insured,-1.098021978021978,-1.079230769230769,-0.38692307692307726
meter,1.183809523809524,0.7788095238095243,-2.0450000000000004
reading,-1.3957142857142861,-2.607380952380953,-5.133571428571431
vacated,-2.1922222222222225,-0.829444444444444,-0.22388888888888814
unusual,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
gary,-1.2367676767676767,-1.8754545454545453,-1.8613131313131308
attribute,-1.4643137254901966,-1.6527450980392169,0.3668627450980399
bopd,-0.5039999999999996,1.178,1.0766666666666662
card,-1.945858585858586,-0.8431313131313128,-1.443131313131313
robust,-0.6643137254901963,-1.6841176470588242,-2.554705882352942
university,0.3043137254901962,-0.43313725490196114,1.786470588235294
leadership,,,
stephen,-0.37999999999999995,-0.4691666666666667,1.2537499999999995
cushing,-0.7786666666666666,0.08066666666666682,2.0113333333333334
lcm,-2.241568627450981,-2.4962745098039223,-3.1550980392156864
eliminates,-4.987368421052625,-2.422631578947365,-7.706842105263149
explorationandproductionmember,-3.0652631578947385,0.18052631578947412,0.11736842105263111
expressly,-0.7195959595959597,-1.6754545454545449,-2.655252525252525
expands,1.2966666666666662,2.7872222222222227,-0.5238888888888887
mixed,-1.202916666666666,-0.967083333333333,-5.560833333333333
sinopec,-0.19571428571428554,0.7592857142857146,3.1569047619047637
productmember,-0.1786666666666669,-1.5793333333333333,-9.37666666666667
india,0.7325000000000002,2.0245833333333327,0.5287499999999998
begun,,,
reliably,-0.5333333333333338,-0.5460000000000002,-2.3619999999999997
wash,-1.4260000000000002,-0.5729999999999998,1.8689999999999998
inside,0.98,1.1329999999999998,-1.1270000000000002
specie,-0.31166666666666704,-0.3704166666666667,-2.1349999999999993
servicemember,-0.1786666666666669,-1.5793333333333333,-9.37666666666667
upgrader,-0.05582417582417604,0.0484615384615383,2.3649450549450552
insignificant,3.394509803921569,1.6099999999999999,3.3001960784313726
arrears,-1.2320833333333334,-1.3191666666666664,-3.2420833333333325
municipal,0.6623809523809524,-0.60452380952381,-0.09499999999999961
manhattan,-0.709583333333333,-0.5349999999999997,0.02541666666666636
semiannually,0.4084848484848485,0.7158585858585861,-1.1629292929292931
deconsolidation,-0.6042857142857145,-1.1283333333333339,-2.092619047619048
alliance,0.6647619047619049,-0.45928571428571424,-1.6402380952380957
qualification,-0.6760784313725494,-0.0017647058823525533,3.570784313725492
trademark,0.33090909090909043,-0.03707070707070722,0.5952525252525253
acquirer,-1.275555555555555,-1.6683333333333323,-4.757222222222223
minimummember,0.1389473684210521,-1.9173684210526312,0.9668421052631573
rielly,-3.0652631578947385,0.18052631578947412,0.11736842105263111
logcap,0.36631578947368326,-0.3457894736842102,-8.703684210526317
megawatt,-1.1943434343434343,-1.3481818181818181,1.0194949494949495
waha,-0.6096969696969694,0.5198989898989901,2.7784848484848492
ruled,-1.4287500000000004,-1.4143749999999997,3.0012499999999998
decommissioning,-0.10681318681318686,0.997692307692308,0.4086813186813184
lock,0.4180000000000001,-0.3690000000000002,1.0890000000000002
laurel,1.1006249999999995,0.15812500000000007,0.6049999999999999
acceptance,0.7866666666666664,-0.9547058823529416,-2.703725490196079
aside,0.6746666666666666,1.158,2.275333333333334
corner,-1.0960000000000003,-0.9669999999999996,-0.8010000000000002
discloses,-0.1654166666666666,-0.08583333333333365,1.595416666666667
tubulars,1.4287500000000004,1.4143750000000002,-3.0012500000000006
relocation,0.9919999999999999,-0.15133333333333335,0.20599999999999977
costless,0.98625,-0.09541666666666662,2.0962499999999995
satellite,0.3248484848484849,1.1265656565656565,2.857878787878787
foreseeable,1.5984313725490202,-0.9350980392156871,-1.3037254901960784
sa,0.8899999999999999,1.151,0.9829999999999997
demonstrate,0.3022222222222219,-1.051666666666666,1.8983333333333337
publication,-0.1386666666666665,-0.4313333333333335,1.1580000000000004
shortfall,0.8062745098039212,-0.18607843137254884,-0.18215686274509818
mapco,-0.7915789473684218,-3.977368421052632,-7.461578947368422
surplus,0.005625000000000014,0.36999999999999994,0.6575000000000006
resume,,,
ozone,-0.46000000000000024,-1.4730000000000003,0.6230000000000004
nitrogen,-0.21380952380952417,-1.3711904761904767,-0.7640476190476184
francisco,-1.5804166666666668,-1.6433333333333329,-2.9225
schlumbergersema,0.576842105263158,-0.29315789473684195,-9.219473684210527
voluntarily,-1.0094117647058827,-1.3782352941176474,-1.5194117647058814
suspend,-1.425098039215687,-0.8880392156862749,1.6805882352941177
shallow,1.9314285714285715,2.1764285714285725,2.63357142857143
devil,-0.500392156862745,-0.38254901960784293,-0.8217647058823527
divestments,1.2106666666666674,2.41,1.7486666666666666
expensive,0.6244444444444439,-0.7961111111111111,-2.062777777777778
driver,0.7077777777777772,0.9761111111111109,1.7538888888888882
michigan,-1.4820000000000002,-1.3470000000000002,0.6990000000000003
arranger,0.42787878787878797,-0.4512121212121213,1.6154545454545446
connecting,-0.7519999999999998,-0.32200000000000006,3.382000000000001
kmlt,-3.3494736842105266,-3.4299999999999997,-7.91421052631579
consummated,1.1003921568627448,-0.005686274509803886,-1.6331372549019607
harm,0.018888888888888726,-0.08499999999999955,1.9316666666666662
relied,1.3133333333333332,0.059444444444444404,4.803888888888888
unavailable,-1.2426666666666668,-1.7913333333333332,2.040666666666668
assembly,1.4540659340659339,-0.34714285714285725,-3.131758241758242
preserve,-1.1309803921568626,-0.178235294117647,0.5433333333333336
negotiate,-0.21444444444444413,0.9261111111111112,-3.9516666666666667
assured,-0.946666666666667,-0.7037254901960787,-2.774313725490197
triggered,1.5356862745098043,-0.7194117647058831,-1.7194117647058824
discipline,2.2522222222222217,1.892777777777778,1.1816666666666666
mainline,-0.9283333333333329,-1.7745833333333327,-0.2704166666666664
municipality,-0.6278787878787878,-0.12454545454545461,1.8835353535353534
coker,-1.9575000000000002,-0.81,1.3066666666666673
kg,-0.28533333333333327,-0.5606666666666665,-0.47266666666666657
joining,-0.49777777777777726,0.33722222222222215,9.459444444444443
true,-1.3685714285714288,-0.9783333333333339,-5.059285714285717
recompletion,1.5033333333333334,2.0308333333333333,5.851666666666668
carolina,-1.3880000000000006,-1.067,-3.3270000000000004
provisional,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
ong,-1.2021052631578943,-3.766842105263159,-2.356315789473685
uprr,-3.3494736842105266,-3.4299999999999997,-7.91421052631579
liberty,-1.534945054945055,-2.652637362637363,-4.958131868131868
bearing,-0.9946666666666665,-0.5913333333333336,-2.444666666666667
indeterminate,-1.421666666666667,-1.0399999999999996,-0.19416666666666635
extreme,,,
define,-1.4193749999999996,-0.4112499999999997,-2.245624999999999
guardian,-1.2021052631578943,-3.766842105263159,-2.356315789473685
defs,-0.35222222222222244,-0.676111111111111,3.373888888888888
alter,,,
northamericamember,0.8975000000000001,0.6549999999999998,-4.57625
delinquent,,,
army,-8.881784197001253e-17,0.23099999999999993,1.9270000000000005
loading,-1.719374999999999,-1.0987499999999997,3.319999999999999
